village_name,district,taluk,farmer_id_hash,pmfby_sum_insured_inr,pmfby_claim_amount_inr,claim_narrative,internal_test_label,crop_name,season
Nyamathi (Davanagere),Davanagere,Nyamathi,FMR-98CA182F,50000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Nyamathi (Davanagere),Davanagere,Nyamathi,FMR-6BE09B61,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Tiptur (Tumakuru),Tumakuru,Tiptur,FMR-887589CB,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Tiptur (Tumakuru),Tumakuru,Tiptur,FMR-B97E9513,65000,52740.22,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Tiptur (Tumakuru),Tumakuru,Tiptur,FMR-089E69ED,42000,40718.66,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Kunigal (Tumakuru),Tumakuru,Kunigal,FMR-4ADC336A,35000,32374.9,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Kunigal (Tumakuru),Tumakuru,Kunigal,FMR-BB7EBCFC,65000,48725.86,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Kunigal (Tumakuru),Tumakuru,Kunigal,FMR-C8974418,65000,38957.97,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Kunigal (Tumakuru),Tumakuru,Kunigal,FMR-25FF34C4,50000,48818.04,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Madhugiri (Tumakuru),Tumakuru,Madhugiri,FMR-5BBE5A0B,65000,62887.94,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Madhugiri (Tumakuru),Tumakuru,Madhugiri,FMR-FA0527A8,35000,30748.57,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Madhugiri (Tumakuru),Tumakuru,Madhugiri,FMR-90C68FB6,42000,18261.4,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Madhugiri (Tumakuru),Tumakuru,Madhugiri,FMR-4FACBC3C,50000,40916.34,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Sira (Tumakuru),Tumakuru,Sira,FMR-6A8B8069,50000,23612.37,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Sira (Tumakuru),Tumakuru,Sira,FMR-ACDE0AB3,65000,31382.48,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Pavagada (Tumakuru),Tumakuru,Pavagada,FMR-67E4E740,65000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Pavagada (Tumakuru),Tumakuru,Pavagada,FMR-F3463AE9,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Pavagada (Tumakuru),Tumakuru,Pavagada,FMR-98C86425,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Gubbi (Tumakuru),Tumakuru,Gubbi,FMR-4A37909D,42000,30139.55,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Gubbi (Tumakuru),Tumakuru,Gubbi,FMR-BFC9B63F,65000,56090.28,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Gubbi (Tumakuru),Tumakuru,Gubbi,FMR-04FAADDD,35000,30510.89,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Gubbi (Tumakuru),Tumakuru,Gubbi,FMR-6D82E2E7,50000,35920.78,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Turuvekere (Tumakuru),Tumakuru,Turuvekere,FMR-BBBAEC7C,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Turuvekere (Tumakuru),Tumakuru,Turuvekere,FMR-3A879BB4,65000,50056.06,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Turuvekere (Tumakuru),Tumakuru,Turuvekere,FMR-FF0660A7,50000,44299.58,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Turuvekere (Tumakuru),Tumakuru,Turuvekere,FMR-E6A5A276,65000,22407.38,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Chikkanayakanahalli (Tumakuru),Tumakuru,Chikkanayakanahalli,FMR-08D4E133,42000,18837.38,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Chikkanayakanahalli (Tumakuru),Tumakuru,Chikkanayakanahalli,FMR-147E6620,42000,31247.09,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Chikkanayakanahalli (Tumakuru),Tumakuru,Chikkanayakanahalli,FMR-DB8EEAB1,35000,33105.99,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Bhadravati (Shivamogga),Shivamogga,Bhadravati,FMR-038643A5,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Shikaripura (Shivamogga),Shivamogga,Shikaripura,FMR-CB887C76,42000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Soraba (Shivamogga),Shivamogga,Soraba,FMR-CB1544CD,50000,31497.42,Severe drought during flowering stage destroyed crop.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Sagar (Shivamogga),Shivamogga,Sagar,FMR-2F62FF61,65000,62001.54,"No rain for 30 days, total crop failure.",CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Sagar (Shivamogga),Shivamogga,Sagar,FMR-03643EF0,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Sagar (Shivamogga),Shivamogga,Sagar,FMR-CCE8C5A8,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Sagar (Shivamogga),Shivamogga,Sagar,FMR-6F8A0676,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Thirthahalli (Shivamogga),Shivamogga,Thirthahalli,FMR-8137D13F,42000,34480.66,Inadequate rainfall led to stunted growth and withering.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Thirthahalli (Shivamogga),Shivamogga,Thirthahalli,FMR-3D0DEB7C,42000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Thirthahalli (Shivamogga),Shivamogga,Thirthahalli,FMR-3996FF81,50000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Nanjangud (Mysuru),Mysuru,Nanjangud,FMR-12C74E0E,35000,21127.3,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Hunsur (Mysuru),Mysuru,Hunsur,FMR-5DEAEF46,35000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Piriyapatna (Mysuru),Mysuru,Piriyapatna,FMR-BD31B7D2,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Piriyapatna (Mysuru),Mysuru,Piriyapatna,FMR-8AE5C806,50000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Piriyapatna (Mysuru),Mysuru,Piriyapatna,FMR-E33A7726,50000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
T. Narasipura (Mysuru),Mysuru,T. Narasipura,FMR-30BE3936,65000,41247.09,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
T. Narasipura (Mysuru),Mysuru,T. Narasipura,FMR-456DBF6A,35000,11171.42,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
T. Narasipura (Mysuru),Mysuru,T. Narasipura,FMR-1C9F5F3E,42000,34194.85,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Heggadadevankote (Mysuru),Mysuru,Heggadadevankote,FMR-B7337920,65000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Heggadadevankote (Mysuru),Mysuru,Heggadadevankote,FMR-F0C75152,65000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Heggadadevankote (Mysuru),Mysuru,Heggadadevankote,FMR-8EAFD85C,42000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Heggadadevankote (Mysuru),Mysuru,Heggadadevankote,FMR-EC3DD879,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Maddur (Mandya),Mandya,Maddur,FMR-F5C45FF6,42000,27411.26,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Malavalli (Mandya),Mandya,Malavalli,FMR-C8044310,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Malavalli (Mandya),Mandya,Malavalli,FMR-51E42D25,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Pandavapura (Mandya),Mandya,Pandavapura,FMR-3E82A477,35000,28989.93,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Krishnarajpet (Mandya),Mandya,Krishnarajpet,FMR-A9BBC449,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Krishnarajpet (Mandya),Mandya,Krishnarajpet,FMR-7C4E3224,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Kollegal (Chamarajanagar),Chamarajanagar,Kollegal,FMR-2B7A026C,65000,0.0,Slight waterlogging initially but crop recovered fully.,MATCH_HEALTHY,Rice,Kharif
Kollegal (Chamarajanagar),Chamarajanagar,Kollegal,FMR-5A802058,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Gundlupet (Chamarajanagar),Chamarajanagar,Gundlupet,FMR-B2221753,50000,37414.05,Severe drought during flowering stage destroyed crop.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Gundlupet (Chamarajanagar),Chamarajanagar,Gundlupet,FMR-EB5C0E15,65000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Gundlupet (Chamarajanagar),Chamarajanagar,Gundlupet,FMR-4521D1F3,65000,57840.26,Severe drought during flowering stage destroyed crop.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Channarayapatna (Hassan),Hassan,Channarayapatna,FMR-4687F285,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Channarayapatna (Hassan),Hassan,Channarayapatna,FMR-82A0DAE3,65000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Channarayapatna (Hassan),Hassan,Channarayapatna,FMR-3C330F3F,65000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Channarayapatna (Hassan),Hassan,Channarayapatna,FMR-F37C0198,42000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Arsikere (Hassan),Hassan,Arsikere,FMR-95C7F0EB,42000,28947.11,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Arsikere (Hassan),Hassan,Arsikere,FMR-B61BA613,50000,48772.16,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Arsikere (Hassan),Hassan,Arsikere,FMR-07852515,50000,19346.04,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Holenarasipura (Hassan),Hassan,Holenarasipura,FMR-B5BDB322,50000,0.0,"Good rains, expecting normal yield.",MATCH_HEALTHY,Rice,Kharif
Holenarasipura (Hassan),Hassan,Holenarasipura,FMR-3F077365,50000,45508.29,Crop dried up due to prolonged moisture stress.,CONTRADICT_REALITY_HEALTHY,Rice,Kharif
Kadur (Chikkamagaluru),Chikkamagaluru,Kadur,FMR-E9230295,42000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Tarikere (Chikkamagaluru),Chikkamagaluru,Tarikere,FMR-64F0F0A9,35000,24125.03,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Gauribidanur (Chikkaballapur),Chikkaballapur,Gauribidanur,FMR-5915C398,42000,21656.6,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Gauribidanur (Chikkaballapur),Chikkaballapur,Gauribidanur,FMR-90A2A09A,50000,34350.32,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Gokak (Belagavi),Belagavi,Gokak,FMR-24A2EA61,35000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",MATCH_HEALTHY,Rice,Kharif
Hubballi Rural (Dharwad),Dharwad,Hubballi Rural,FMR-E8134589,42000,29229.87,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Hubballi Rural (Dharwad),Dharwad,Hubballi Rural,FMR-F7F4970C,50000,0.0,"Crop is healthy, minor pest attack but yield unaffected.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Hubballi Rural (Dharwad),Dharwad,Hubballi Rural,FMR-73E77597,50000,27183.62,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Hubballi Rural (Dharwad),Dharwad,Hubballi Rural,FMR-B5D685CC,42000,14048.78,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Kalghatgi (Dharwad),Dharwad,Kalghatgi,FMR-059439AC,35000,28050.43,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Jewargi (Kalaburagi),Kalaburagi,Jewargi,FMR-9CCFE370,42000,16230.05,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Chittapur (Kalaburagi),Kalaburagi,Chittapur,FMR-96515847,35000,28446.18,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Shahabad (Kalaburagi),Kalaburagi,Shahabad,FMR-881CC8E0,50000,27992.02,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Shahabad (Kalaburagi),Kalaburagi,Shahabad,FMR-48762358,65000,22866.89,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Shahabad (Kalaburagi),Kalaburagi,Shahabad,FMR-5DA46C50,35000,22977.02,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Shahabad (Kalaburagi),Kalaburagi,Shahabad,FMR-254E9B35,65000,43188.51,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
